음식점 이름,메뉴 이름,메뉴 가격,에너지,탄수화물,단백질,지방
원조태평소국밥 본관,소국밥,9000, , , , 
원조태평소국밥 본관,소내장탕,9000, , , , 
원조태평소국밥 본관,소갈비탕,11500, , , , 
원조태평소국밥 본관,매운소갈비찜(중),29000, , , , 
원조태평소국밥 본관,궁중소갈비찜(중),29000, , , , 
원조태평소국밥 본관,특내장탕,11000, , , , 
온천손칼국수쭈꾸미,조개 (물총) 칼국수,8500, , , , 
온천손칼국수쭈꾸미,쭈꾸미볶음,9500, , , , 
온천손칼국수쭈꾸미,물총탕,14000, , , , 
온천손칼국수쭈꾸미,수육,14000, , , , 
온천손칼국수쭈꾸미,공기밥,1000, , , , 
상무초밥 유성점,자부심초밥세트(10P),16900, , , , 
상무초밥 유성점,상무초밥세트(10P),20900, , , , 
상무초밥 유성점,진심초밥세트(10P),12900, , , , 
상무초밥 유성점,활어초밥(10P),18000, , , , 
상무초밥 유성점,참치초밥(10P),18000, , , , 
상무초밥 유성점,연어초밥(8P),16000, , , , 
원조태평소국밥 유성점,소국밥,8000, , , , 
원조태평소국밥 유성점,따로국밥,8500, , , , 
원조태평소국밥 유성점,소내장탕,8000, , , , 
원조태평소국밥 유성점,매운소갈비찜 (중),28000, , , , 
원조태평소국밥 유성점,궁중소갈비찜 (중),28000, , , , 
워낭명가,특양구이 (170g),29000, , , , 
워낭명가,대창구이 (180g),26000, , , , 
워낭명가,양념왕갈비 (300g),38000, , , , 
워낭명가,차돌박이 (150g),20000, , , , 
워낭명가,갈비탕,15000, , , , 
워낭명가,전복갈비탕,18000, , , , 
바르미 샤브샤브n칼국수 봉명점,쇠고기샤브샤브 (1인) (주말 . 공휴일),16800, , , , 
바르미 샤브샤브n칼국수 봉명점,한우샤브샤브 (1인) (주말 . 공휴일),18800, , , , 
바르미 샤브샤브n칼국수 봉명점,한우샤브샤브 (1인) (평일),17800, , , , 
바르미 샤브샤브n칼국수 봉명점,대표샤브샤브 (1인) (주말 . 공휴일),19800, , , , 
바르미 샤브샤브n칼국수 봉명점,대표샤브샤브 (1인) (평일),18800, , , , 
바르미 샤브샤브n칼국수 봉명점,쇠고기샤브샤브 (1인) (평일점심),14800, , , , 
일당감자탕,뼈다귀탕,11000, , , , 
일당감자탕,감자탕 (대),51000, , , , 
일당감자탕,감자탕 (중),41000, , , , 
일당감자탕,감자탕 (소),32000, , , , 
일당감자탕,한우사골우거지해장국,10000, , , , 
구들마루,닭도리탕(중),35000, , , , 
구들마루,삼계탕,14000, , , , 
구들마루,곱창전골(소),33000, , , , 
구들마루,한방누룽지백숙,55000, , , , 
구들마루,능이한방누룽지백숙,65000, , , , 
구들마루,능이삼계탕,16000, , , , 
띠울석갈비 유성직영점,소석갈비,27000, , , , 
띠울석갈비 유성직영점,돼지석갈비,17000, , , , 
띠울석갈비 유성직영점,갈비탕,15000, , , , 
띠울석갈비 유성직영점,냉면,8000, , , , 
띠울석갈비 유성직영점,비빔냉면,9000, , , , 
백마강참숯민물장어 유성점,민물장어 (한판),69000, , , , 
백마강참숯민물장어 유성점,민물장어 (반판),35000, , , , 
백마강참숯민물장어 유성점,장어탕 (대),8000, , , , 
백마강참숯민물장어 유성점,장어탕 (소),5000, , , , 
백마강참숯민물장어 유성점,소면,3000, , , , 
대손관 본점,밀면 (냉),9000, , , , 
대손관 본점,물비빔밀면,9000, , , , 
유람,푸드 및 음료 메뉴판,0, , , , 
유람,케이크 및 주류 메뉴판,0, , , , 
아케이드커피,에스프레소,4500, , , , 
아케이드커피,아메리카노,5500, , , , 
